Jornada,Fecha,Horario,Local,Resultado,Visitante
19,Dom 11-01-2026,--:--,Athletic Club,VS,Real Madrid
19,Dom 11-01-2026,--:--,FC Barcelona,VS,Atlético de Madrid
19,Dom 11-01-2026,--:--,Getafe CF,VS,Real Sociedad
19,Dom 11-01-2026,--:--,Girona FC,VS,CA Osasuna
19,Dom 11-01-2026,--:--,Levante UD,VS,RCD Espanyol de Barcelona
19,Dom 11-01-2026,--:--,Rayo Vallecano,VS,RCD Mallorca
19,Dom 11-01-2026,--:--,Real Oviedo,VS,Real Betis
19,Dom 11-01-2026,--:--,Sevilla FC,VS,Celta
19,Dom 11-01-2026,--:--,Valencia CF,VS,Elche CF
19,Dom 11-01-2026,--:--,Villarreal CF,VS,Deportivo Alavés
