Jornada,Fecha,Horario,Local,Resultado,Visitante
20,Dom 18-01-2026,--:--,Atlético de Madrid,VS,Deportivo Alavés
20,Dom 18-01-2026,--:--,CA Osasuna,VS,Real Oviedo
20,Dom 18-01-2026,--:--,Celta,VS,Rayo Vallecano
20,Dom 18-01-2026,--:--,Elche CF,VS,Sevilla FC
20,Dom 18-01-2026,--:--,Getafe CF,VS,Valencia CF
20,Dom 18-01-2026,--:--,RCD Espanyol de Barcelona,VS,Girona FC
20,Dom 18-01-2026,--:--,RCD Mallorca,VS,Athletic Club
20,Dom 18-01-2026,--:--,Real Betis,VS,Villarreal CF
20,Dom 18-01-2026,--:--,Real Madrid,VS,Levante UD
20,Dom 18-01-2026,--:--,Real Sociedad,VS,FC Barcelona
