Jornada,Fecha,Horario,Local,Resultado,Visitante
23,Dom 25-01-2026,--:--,Cádiz CF,VS,Granada CF
23,Dom 25-01-2026,--:--,AD Ceuta FC,VS,Cultural y Deportiva Leonesa
23,Dom 25-01-2026,--:--,RC Deportivo,VS,R. Racing Club
23,Dom 25-01-2026,--:--,CD Leganés,VS,R. Sociedad B
23,Dom 25-01-2026,--:--,FC Andorra,VS,SD Huesca
23,Dom 25-01-2026,--:--,Real Valladolid CF,VS,Albacete BP
23,Dom 25-01-2026,--:--,Málaga CF,VS,Burgos CF
23,Dom 25-01-2026,--:--,Real Zaragoza,VS,CD Castellón
23,Dom 25-01-2026,--:--,UD Las Palmas,VS,Córdoba CF
23,Dom 25-01-2026,--:--,SD Eibar,VS,UD Almería
23,Dom 25-01-2026,--:--,Real Sporting,VS,CD Mirandés
