Jornada,Fecha,Horario,Local,Resultado,Visitante
1,Lun 18-08-2025,21:00,Elche CF,VS,Real Betis
2,Sáb 23-08-2025,19:30,Atlético de Madrid,VS,Elche CF
3,Vie 29-08-2025,19:30,Elche CF,VS,Levante UD
4,Vie 12-09-2025,21:00,Sevilla FC,VS,Elche CF
5,Dom 21-09-2025,--:--,Elche CF,VS,Real Oviedo
6,Mié 24-09-2025,--:--,CA Osasuna,VS,Elche CF
7,Dom 28-09-2025,--:--,Elche CF,VS,Celta
8,Dom 05-10-2025,--:--,Deportivo Alavés,VS,Elche CF
9,Dom 19-10-2025,--:--,Elche CF,VS,Athletic Club
10,Dom 26-10-2025,--:--,RCD Espanyol de Barcelona,VS,Elche CF
11,Dom 02-11-2025,--:--,FC Barcelona,VS,Elche CF
12,Dom 09-11-2025,--:--,Elche CF,VS,Real Sociedad
13,Dom 23-11-2025,--:--,Elche CF,VS,Real Madrid
14,Dom 30-11-2025,--:--,Getafe CF,VS,Elche CF
15,Dom 07-12-2025,--:--,Elche CF,VS,Girona FC
16,Dom 14-12-2025,--:--,RCD Mallorca,VS,Elche CF
17,Dom 21-12-2025,--:--,Elche CF,VS,Rayo Vallecano
18,Dom 04-01-2026,--:--,Elche CF,VS,Villarreal CF
19,Dom 11-01-2026,--:--,Valencia CF,VS,Elche CF
20,Dom 18-01-2026,--:--,Elche CF,VS,Sevilla FC
21,Dom 25-01-2026,--:--,Levante UD,VS,Elche CF
22,Dom 01-02-2026,--:--,Elche CF,VS,FC Barcelona
23,Dom 08-02-2026,--:--,Real Sociedad,VS,Elche CF
24,Dom 15-02-2026,--:--,Elche CF,VS,CA Osasuna
25,Dom 22-02-2026,--:--,Athletic Club,VS,Elche CF
26,Dom 01-03-2026,--:--,Elche CF,VS,RCD Espanyol de Barcelona
27,Dom 08-03-2026,--:--,Villarreal CF,VS,Elche CF
28,Dom 15-03-2026,--:--,Real Madrid,VS,Elche CF
29,Dom 22-03-2026,--:--,Elche CF,VS,RCD Mallorca
30,Dom 05-04-2026,--:--,Rayo Vallecano,VS,Elche CF
31,Dom 12-04-2026,--:--,Elche CF,VS,Valencia CF
32,Dom 19-04-2026,--:--,Real Oviedo,VS,Elche CF
33,Mié 22-04-2026,--:--,Elche CF,VS,Atlético de Madrid
34,Dom 03-05-2026,--:--,Celta,VS,Elche CF
35,Dom 10-05-2026,--:--,Elche CF,VS,Deportivo Alavés
36,Mié 13-05-2026,--:--,Real Betis,VS,Elche CF
37,Dom 17-05-2026,--:--,Elche CF,VS,Getafe CF
38,Dom 24-05-2026,--:--,Girona FC,VS,Elche CF
