Jornada,Fecha,Horario,Local,Resultado,Visitante
1,Dom 17-08-2025,17:00,Celta,0 - 2,Getafe CF
2,Lun 25-08-2025,21:30,Sevilla FC,VS,Getafe CF
3,Vie 29-08-2025,21:30,Valencia CF,VS,Getafe CF
4,Sáb 13-09-2025,14:00,Getafe CF,VS,Real Oviedo
5,Dom 21-09-2025,--:--,FC Barcelona,VS,Getafe CF
6,Mié 24-09-2025,--:--,Getafe CF,VS,Deportivo Alavés
7,Dom 28-09-2025,--:--,Getafe CF,VS,Levante UD
8,Dom 05-10-2025,--:--,CA Osasuna,VS,Getafe CF
9,Dom 19-10-2025,--:--,Getafe CF,VS,Real Madrid
10,Dom 26-10-2025,--:--,Athletic Club,VS,Getafe CF
11,Dom 02-11-2025,--:--,Getafe CF,VS,Girona FC
12,Dom 09-11-2025,--:--,RCD Mallorca,VS,Getafe CF
13,Dom 23-11-2025,--:--,Getafe CF,VS,Atlético de Madrid
14,Dom 30-11-2025,--:--,Getafe CF,VS,Elche CF
15,Dom 07-12-2025,--:--,Villarreal CF,VS,Getafe CF
16,Dom 14-12-2025,--:--,Getafe CF,VS,RCD Espanyol de Barcelona
17,Dom 21-12-2025,--:--,Real Betis,VS,Getafe CF
18,Dom 04-01-2026,--:--,Rayo Vallecano,VS,Getafe CF
19,Dom 11-01-2026,--:--,Getafe CF,VS,Real Sociedad
20,Dom 18-01-2026,--:--,Getafe CF,VS,Valencia CF
21,Dom 25-01-2026,--:--,Girona FC,VS,Getafe CF
22,Dom 01-02-2026,--:--,Getafe CF,VS,Celta
23,Dom 08-02-2026,--:--,Deportivo Alavés,VS,Getafe CF
24,Dom 15-02-2026,--:--,Getafe CF,VS,Villarreal CF
25,Dom 22-02-2026,--:--,Getafe CF,VS,Sevilla FC
26,Dom 01-03-2026,--:--,Real Madrid,VS,Getafe CF
27,Dom 08-03-2026,--:--,Getafe CF,VS,Real Betis
28,Dom 15-03-2026,--:--,Atlético de Madrid,VS,Getafe CF
29,Dom 22-03-2026,--:--,RCD Espanyol de Barcelona,VS,Getafe CF
30,Dom 05-04-2026,--:--,Getafe CF,VS,Athletic Club
31,Dom 12-04-2026,--:--,Levante UD,VS,Getafe CF
32,Dom 19-04-2026,--:--,Getafe CF,VS,FC Barcelona
33,Mié 22-04-2026,--:--,Real Sociedad,VS,Getafe CF
34,Dom 03-05-2026,--:--,Getafe CF,VS,Rayo Vallecano
35,Dom 10-05-2026,--:--,Real Oviedo,VS,Getafe CF
36,Mié 13-05-2026,--:--,Getafe CF,VS,RCD Mallorca
37,Dom 17-05-2026,--:--,Elche CF,VS,Getafe CF
38,Dom 24-05-2026,--:--,Getafe CF,VS,CA Osasuna
