Jornada,Fecha,Horario,Local,Resultado,Visitante
1,Vie 15-08-2025,19:00,Girona FC,1 - 3,Rayo Vallecano
2,Dom 24-08-2025,19:30,Villarreal CF,VS,Girona FC
3,Sáb 30-08-2025,19:30,Girona FC,VS,Sevilla FC
4,Dom 14-09-2025,14:00,Celta,VS,Girona FC
5,Dom 21-09-2025,--:--,Girona FC,VS,Levante UD
6,Mié 24-09-2025,--:--,Athletic Club,VS,Girona FC
7,Dom 28-09-2025,--:--,Girona FC,VS,RCD Espanyol de Barcelona
8,Dom 05-10-2025,--:--,Girona FC,VS,Valencia CF
9,Dom 19-10-2025,--:--,FC Barcelona,VS,Girona FC
10,Dom 26-10-2025,--:--,Girona FC,VS,Real Oviedo
11,Dom 02-11-2025,--:--,Getafe CF,VS,Girona FC
12,Dom 09-11-2025,--:--,Girona FC,VS,Deportivo Alavés
13,Dom 23-11-2025,--:--,Real Betis,VS,Girona FC
14,Dom 30-11-2025,--:--,Girona FC,VS,Real Madrid
15,Dom 07-12-2025,--:--,Elche CF,VS,Girona FC
16,Dom 14-12-2025,--:--,Real Sociedad,VS,Girona FC
17,Dom 21-12-2025,--:--,Girona FC,VS,Atlético de Madrid
18,Dom 04-01-2026,--:--,RCD Mallorca,VS,Girona FC
19,Dom 11-01-2026,--:--,Girona FC,VS,CA Osasuna
20,Dom 18-01-2026,--:--,RCD Espanyol de Barcelona,VS,Girona FC
21,Dom 25-01-2026,--:--,Girona FC,VS,Getafe CF
22,Dom 01-02-2026,--:--,Real Oviedo,VS,Girona FC
23,Dom 08-02-2026,--:--,Sevilla FC,VS,Girona FC
24,Dom 15-02-2026,--:--,Girona FC,VS,FC Barcelona
25,Dom 22-02-2026,--:--,Deportivo Alavés,VS,Girona FC
26,Dom 01-03-2026,--:--,Girona FC,VS,Celta
27,Dom 08-03-2026,--:--,Levante UD,VS,Girona FC
28,Dom 15-03-2026,--:--,Girona FC,VS,Athletic Club
29,Dom 22-03-2026,--:--,CA Osasuna,VS,Girona FC
30,Dom 05-04-2026,--:--,Girona FC,VS,Villarreal CF
31,Dom 12-04-2026,--:--,Real Madrid,VS,Girona FC
32,Dom 19-04-2026,--:--,Valencia CF,VS,Girona FC
33,Mié 22-04-2026,--:--,Girona FC,VS,Real Betis
34,Dom 03-05-2026,--:--,Girona FC,VS,RCD Mallorca
35,Dom 10-05-2026,--:--,Rayo Vallecano,VS,Girona FC
36,Mié 13-05-2026,--:--,Girona FC,VS,Real Sociedad
37,Dom 17-05-2026,--:--,Atlético de Madrid,VS,Girona FC
38,Dom 24-05-2026,--:--,Girona FC,VS,Elche CF
