Jornada,Fecha,Horario,Local,Resultado,Visitante
1,Sáb 16-08-2025,21:30,Deportivo Alavés,2 - 1,Levante UD
2,Sáb 23-08-2025,21:30,Levante UD,VS,FC Barcelona
3,Vie 29-08-2025,19:30,Elche CF,VS,Levante UD
4,Sáb 13-09-2025,16:15,Levante UD,VS,Real Betis
5,Dom 21-09-2025,--:--,Girona FC,VS,Levante UD
6,Mié 24-09-2025,--:--,Levante UD,VS,Real Madrid
7,Dom 28-09-2025,--:--,Getafe CF,VS,Levante UD
8,Dom 05-10-2025,--:--,Real Oviedo,VS,Levante UD
9,Dom 19-10-2025,--:--,Levante UD,VS,Rayo Vallecano
10,Dom 26-10-2025,--:--,RCD Mallorca,VS,Levante UD
11,Dom 02-11-2025,--:--,Levante UD,VS,Celta
12,Dom 09-11-2025,--:--,Atlético de Madrid,VS,Levante UD
13,Dom 23-11-2025,--:--,Valencia CF,VS,Levante UD
14,Dom 30-11-2025,--:--,Levante UD,VS,Athletic Club
15,Dom 07-12-2025,--:--,CA Osasuna,VS,Levante UD
16,Dom 14-12-2025,--:--,Levante UD,VS,Villarreal CF
17,Dom 21-12-2025,--:--,Levante UD,VS,Real Sociedad
18,Dom 04-01-2026,--:--,Sevilla FC,VS,Levante UD
19,Dom 11-01-2026,--:--,Levante UD,VS,RCD Espanyol de Barcelona
20,Dom 18-01-2026,--:--,Real Madrid,VS,Levante UD
21,Dom 25-01-2026,--:--,Levante UD,VS,Elche CF
22,Dom 01-02-2026,--:--,Levante UD,VS,Atlético de Madrid
23,Dom 08-02-2026,--:--,Athletic Club,VS,Levante UD
24,Dom 15-02-2026,--:--,Levante UD,VS,Valencia CF
25,Dom 22-02-2026,--:--,FC Barcelona,VS,Levante UD
26,Dom 01-03-2026,--:--,Levante UD,VS,Deportivo Alavés
27,Dom 08-03-2026,--:--,Levante UD,VS,Girona FC
28,Dom 15-03-2026,--:--,Rayo Vallecano,VS,Levante UD
29,Dom 22-03-2026,--:--,Levante UD,VS,Real Oviedo
30,Dom 05-04-2026,--:--,Real Sociedad,VS,Levante UD
31,Dom 12-04-2026,--:--,Levante UD,VS,Getafe CF
32,Dom 19-04-2026,--:--,RCD Espanyol de Barcelona,VS,Levante UD
33,Mié 22-04-2026,--:--,Levante UD,VS,Sevilla FC
34,Dom 03-05-2026,--:--,Villarreal CF,VS,Levante UD
35,Dom 10-05-2026,--:--,Levante UD,VS,CA Osasuna
36,Mié 13-05-2026,--:--,Celta,VS,Levante UD
37,Dom 17-05-2026,--:--,Levante UD,VS,RCD Mallorca
38,Dom 24-05-2026,--:--,Real Betis,VS,Levante UD
