Jornada,Fecha,Horario,Local,Resultado,Visitante
1,Dom 17-08-2025,17:00,Celta,0 - 2,Getafe CF
2,Sáb 23-08-2025,17:00,RCD Mallorca,VS,Celta
6,Mié 27-08-2025,21:00,Celta,VS,Real Betis
3,Dom 31-08-2025,17:00,Celta,VS,Villarreal CF
4,Dom 14-09-2025,14:00,Celta,VS,Girona FC
5,Dom 21-09-2025,--:--,Rayo Vallecano,VS,Celta
7,Dom 28-09-2025,--:--,Elche CF,VS,Celta
8,Dom 05-10-2025,--:--,Celta,VS,Atlético de Madrid
9,Dom 19-10-2025,--:--,Celta,VS,Real Sociedad
10,Dom 26-10-2025,--:--,CA Osasuna,VS,Celta
11,Dom 02-11-2025,--:--,Levante UD,VS,Celta
12,Dom 09-11-2025,--:--,Celta,VS,FC Barcelona
13,Dom 23-11-2025,--:--,Deportivo Alavés,VS,Celta
14,Dom 30-11-2025,--:--,Celta,VS,RCD Espanyol de Barcelona
15,Dom 07-12-2025,--:--,Real Madrid,VS,Celta
16,Dom 14-12-2025,--:--,Celta,VS,Athletic Club
17,Dom 21-12-2025,--:--,Real Oviedo,VS,Celta
18,Dom 04-01-2026,--:--,Celta,VS,Valencia CF
19,Dom 11-01-2026,--:--,Sevilla FC,VS,Celta
20,Dom 18-01-2026,--:--,Celta,VS,Rayo Vallecano
21,Dom 25-01-2026,--:--,Real Sociedad,VS,Celta
22,Dom 01-02-2026,--:--,Getafe CF,VS,Celta
23,Dom 08-02-2026,--:--,Celta,VS,CA Osasuna
24,Dom 15-02-2026,--:--,RCD Espanyol de Barcelona,VS,Celta
25,Dom 22-02-2026,--:--,Celta,VS,RCD Mallorca
26,Dom 01-03-2026,--:--,Girona FC,VS,Celta
27,Dom 08-03-2026,--:--,Celta,VS,Real Madrid
28,Dom 15-03-2026,--:--,Real Betis,VS,Celta
29,Dom 22-03-2026,--:--,Celta,VS,Deportivo Alavés
30,Dom 05-04-2026,--:--,Valencia CF,VS,Celta
31,Dom 12-04-2026,--:--,Celta,VS,Real Oviedo
32,Dom 19-04-2026,--:--,Villarreal CF,VS,Celta
33,Mié 22-04-2026,--:--,FC Barcelona,VS,Celta
34,Dom 03-05-2026,--:--,Celta,VS,Elche CF
35,Dom 10-05-2026,--:--,Atlético de Madrid,VS,Celta
36,Mié 13-05-2026,--:--,Celta,VS,Levante UD
37,Dom 17-05-2026,--:--,Athletic Club,VS,Celta
38,Dom 24-05-2026,--:--,Celta,VS,Sevilla FC
