Jornada,Fecha,Horario,Local,Resultado,Visitante
1,Dom 17-08-2025,21:30,RCD Espanyol de Barcelona,2 - 1,Atlético de Madrid
2,Dom 24-08-2025,19:30,Real Sociedad,VS,RCD Espanyol de Barcelona
3,Dom 31-08-2025,19:30,RCD Espanyol de Barcelona,VS,CA Osasuna
4,Lun 15-09-2025,21:00,RCD Espanyol de Barcelona,VS,RCD Mallorca
5,Dom 21-09-2025,--:--,Real Madrid,VS,RCD Espanyol de Barcelona
6,Mié 24-09-2025,--:--,RCD Espanyol de Barcelona,VS,Valencia CF
7,Dom 28-09-2025,--:--,Girona FC,VS,RCD Espanyol de Barcelona
8,Dom 05-10-2025,--:--,RCD Espanyol de Barcelona,VS,Real Betis
9,Dom 19-10-2025,--:--,Real Oviedo,VS,RCD Espanyol de Barcelona
10,Dom 26-10-2025,--:--,RCD Espanyol de Barcelona,VS,Elche CF
11,Dom 02-11-2025,--:--,Deportivo Alavés,VS,RCD Espanyol de Barcelona
12,Dom 09-11-2025,--:--,RCD Espanyol de Barcelona,VS,Villarreal CF
13,Dom 23-11-2025,--:--,RCD Espanyol de Barcelona,VS,Sevilla FC
14,Dom 30-11-2025,--:--,Celta,VS,RCD Espanyol de Barcelona
15,Dom 07-12-2025,--:--,RCD Espanyol de Barcelona,VS,Rayo Vallecano
16,Dom 14-12-2025,--:--,Getafe CF,VS,RCD Espanyol de Barcelona
17,Dom 21-12-2025,--:--,Athletic Club,VS,RCD Espanyol de Barcelona
18,Dom 04-01-2026,--:--,RCD Espanyol de Barcelona,VS,FC Barcelona
19,Dom 11-01-2026,--:--,Levante UD,VS,RCD Espanyol de Barcelona
20,Dom 18-01-2026,--:--,RCD Espanyol de Barcelona,VS,Girona FC
21,Dom 25-01-2026,--:--,Valencia CF,VS,RCD Espanyol de Barcelona
22,Dom 01-02-2026,--:--,RCD Espanyol de Barcelona,VS,Deportivo Alavés
23,Dom 08-02-2026,--:--,Villarreal CF,VS,RCD Espanyol de Barcelona
24,Dom 15-02-2026,--:--,RCD Espanyol de Barcelona,VS,Celta
25,Dom 22-02-2026,--:--,Atlético de Madrid,VS,RCD Espanyol de Barcelona
26,Dom 01-03-2026,--:--,Elche CF,VS,RCD Espanyol de Barcelona
27,Dom 08-03-2026,--:--,RCD Espanyol de Barcelona,VS,Real Oviedo
28,Dom 15-03-2026,--:--,RCD Mallorca,VS,RCD Espanyol de Barcelona
29,Dom 22-03-2026,--:--,RCD Espanyol de Barcelona,VS,Getafe CF
30,Dom 05-04-2026,--:--,Real Betis,VS,RCD Espanyol de Barcelona
31,Dom 12-04-2026,--:--,FC Barcelona,VS,RCD Espanyol de Barcelona
32,Dom 19-04-2026,--:--,RCD Espanyol de Barcelona,VS,Levante UD
33,Mié 22-04-2026,--:--,Rayo Vallecano,VS,RCD Espanyol de Barcelona
34,Dom 03-05-2026,--:--,RCD Espanyol de Barcelona,VS,Real Madrid
35,Dom 10-05-2026,--:--,Sevilla FC,VS,RCD Espanyol de Barcelona
36,Mié 13-05-2026,--:--,RCD Espanyol de Barcelona,VS,Athletic Club
37,Dom 17-05-2026,--:--,CA Osasuna,VS,RCD Espanyol de Barcelona
38,Dom 24-05-2026,--:--,RCD Espanyol de Barcelona,VS,Real Sociedad
