Jornada,Fecha,Horario,Local,Resultado,Visitante
1,Lun 18-08-2025,21:00,Elche CF,1 - 1,Real Betis
2,Vie 22-08-2025,21:30,Real Betis,VS,Deportivo Alavés
6,Mié 27-08-2025,21:00,Celta,VS,Real Betis
3,Dom 31-08-2025,19:00,Real Betis,VS,Athletic Club
4,Sáb 13-09-2025,16:15,Levante UD,VS,Real Betis
5,Dom 21-09-2025,--:--,Real Betis,VS,Real Sociedad
7,Dom 28-09-2025,--:--,Real Betis,VS,CA Osasuna
8,Dom 05-10-2025,--:--,RCD Espanyol de Barcelona,VS,Real Betis
9,Dom 19-10-2025,--:--,Villarreal CF,VS,Real Betis
10,Dom 26-10-2025,--:--,Real Betis,VS,Atlético de Madrid
11,Dom 02-11-2025,--:--,Real Betis,VS,RCD Mallorca
12,Dom 09-11-2025,--:--,Valencia CF,VS,Real Betis
13,Dom 23-11-2025,--:--,Real Betis,VS,Girona FC
14,Dom 30-11-2025,--:--,Sevilla FC,VS,Real Betis
15,Dom 07-12-2025,--:--,Real Betis,VS,FC Barcelona
16,Dom 14-12-2025,--:--,Rayo Vallecano,VS,Real Betis
17,Dom 21-12-2025,--:--,Real Betis,VS,Getafe CF
18,Dom 04-01-2026,--:--,Real Madrid,VS,Real Betis
19,Dom 11-01-2026,--:--,Real Oviedo,VS,Real Betis
20,Dom 18-01-2026,--:--,Real Betis,VS,Villarreal CF
21,Dom 25-01-2026,--:--,Deportivo Alavés,VS,Real Betis
22,Dom 01-02-2026,--:--,Real Betis,VS,Valencia CF
23,Dom 08-02-2026,--:--,Atlético de Madrid,VS,Real Betis
24,Dom 15-02-2026,--:--,RCD Mallorca,VS,Real Betis
25,Dom 22-02-2026,--:--,Real Betis,VS,Rayo Vallecano
26,Dom 01-03-2026,--:--,Real Betis,VS,Sevilla FC
27,Dom 08-03-2026,--:--,Getafe CF,VS,Real Betis
28,Dom 15-03-2026,--:--,Real Betis,VS,Celta
29,Dom 22-03-2026,--:--,Athletic Club,VS,Real Betis
30,Dom 05-04-2026,--:--,Real Betis,VS,RCD Espanyol de Barcelona
31,Dom 12-04-2026,--:--,CA Osasuna,VS,Real Betis
32,Dom 19-04-2026,--:--,Real Betis,VS,Real Madrid
33,Mié 22-04-2026,--:--,Girona FC,VS,Real Betis
34,Dom 03-05-2026,--:--,Real Betis,VS,Real Oviedo
35,Dom 10-05-2026,--:--,Real Sociedad,VS,Real Betis
36,Mié 13-05-2026,--:--,Real Betis,VS,Elche CF
37,Dom 17-05-2026,--:--,FC Barcelona,VS,Real Betis
38,Dom 24-05-2026,--:--,Real Betis,VS,Levante UD
