Jornada,Fecha,Horario,Local,Resultado,Visitante
1,Mar 19-08-2025,21:00,Real Madrid,VS,CA Osasuna
2,Dom 24-08-2025,21:30,Real Oviedo,VS,Real Madrid
3,Sáb 30-08-2025,21:30,Real Madrid,VS,RCD Mallorca
4,Dom 14-09-2025,--:--,Real Sociedad,VS,Real Madrid
5,Dom 21-09-2025,--:--,Real Madrid,VS,RCD Espanyol de Barcelona
6,Mié 24-09-2025,--:--,Levante UD,VS,Real Madrid
7,Dom 28-09-2025,--:--,Atlético de Madrid,VS,Real Madrid
8,Dom 05-10-2025,--:--,Real Madrid,VS,Villarreal CF
9,Dom 19-10-2025,--:--,Getafe CF,VS,Real Madrid
10,Dom 26-10-2025,--:--,Real Madrid,VS,FC Barcelona
11,Dom 02-11-2025,--:--,Real Madrid,VS,Valencia CF
12,Dom 09-11-2025,--:--,Rayo Vallecano,VS,Real Madrid
13,Dom 23-11-2025,--:--,Elche CF,VS,Real Madrid
14,Dom 30-11-2025,--:--,Girona FC,VS,Real Madrid
15,Dom 07-12-2025,--:--,Real Madrid,VS,Celta
16,Dom 14-12-2025,--:--,Deportivo Alavés,VS,Real Madrid
17,Dom 21-12-2025,--:--,Real Madrid,VS,Sevilla FC
18,Dom 04-01-2026,--:--,Real Madrid,VS,Real Betis
19,Dom 11-01-2026,--:--,Athletic Club,VS,Real Madrid
20,Dom 18-01-2026,--:--,Real Madrid,VS,Levante UD
21,Dom 25-01-2026,--:--,Villarreal CF,VS,Real Madrid
22,Dom 01-02-2026,--:--,Real Madrid,VS,Rayo Vallecano
23,Dom 08-02-2026,--:--,Valencia CF,VS,Real Madrid
24,Dom 15-02-2026,--:--,Real Madrid,VS,Real Sociedad
25,Dom 22-02-2026,--:--,CA Osasuna,VS,Real Madrid
26,Dom 01-03-2026,--:--,Real Madrid,VS,Getafe CF
27,Dom 08-03-2026,--:--,Celta,VS,Real Madrid
28,Dom 15-03-2026,--:--,Real Madrid,VS,Elche CF
29,Dom 22-03-2026,--:--,Real Madrid,VS,Atlético de Madrid
30,Dom 05-04-2026,--:--,RCD Mallorca,VS,Real Madrid
31,Dom 12-04-2026,--:--,Real Madrid,VS,Girona FC
32,Dom 19-04-2026,--:--,Real Betis,VS,Real Madrid
33,Mié 22-04-2026,--:--,Real Madrid,VS,Deportivo Alavés
34,Dom 03-05-2026,--:--,RCD Espanyol de Barcelona,VS,Real Madrid
35,Dom 10-05-2026,--:--,FC Barcelona,VS,Real Madrid
36,Mié 13-05-2026,--:--,Real Madrid,VS,Real Oviedo
37,Dom 17-05-2026,--:--,Sevilla FC,VS,Real Madrid
38,Dom 24-05-2026,--:--,Real Madrid,VS,Athletic Club
