Jornada,Fecha,Horario,Local,Resultado,Visitante
1,Vie 15-08-2025,21:30,Villarreal CF,2 - 0,Real Oviedo
2,Dom 24-08-2025,21:30,Real Oviedo,VS,Real Madrid
3,Sáb 30-08-2025,19:00,Real Oviedo,VS,Real Sociedad
4,Sáb 13-09-2025,14:00,Getafe CF,VS,Real Oviedo
5,Dom 21-09-2025,--:--,Elche CF,VS,Real Oviedo
6,Mié 24-09-2025,--:--,Real Oviedo,VS,FC Barcelona
7,Dom 28-09-2025,--:--,Valencia CF,VS,Real Oviedo
8,Dom 05-10-2025,--:--,Real Oviedo,VS,Levante UD
9,Dom 19-10-2025,--:--,Real Oviedo,VS,RCD Espanyol de Barcelona
10,Dom 26-10-2025,--:--,Girona FC,VS,Real Oviedo
11,Dom 02-11-2025,--:--,Real Oviedo,VS,CA Osasuna
12,Dom 09-11-2025,--:--,Athletic Club,VS,Real Oviedo
13,Dom 23-11-2025,--:--,Real Oviedo,VS,Rayo Vallecano
14,Dom 30-11-2025,--:--,Atlético de Madrid,VS,Real Oviedo
15,Dom 07-12-2025,--:--,Real Oviedo,VS,RCD Mallorca
16,Dom 14-12-2025,--:--,Sevilla FC,VS,Real Oviedo
17,Dom 21-12-2025,--:--,Real Oviedo,VS,Celta
18,Dom 04-01-2026,--:--,Deportivo Alavés,VS,Real Oviedo
19,Dom 11-01-2026,--:--,Real Oviedo,VS,Real Betis
20,Dom 18-01-2026,--:--,CA Osasuna,VS,Real Oviedo
21,Dom 25-01-2026,--:--,FC Barcelona,VS,Real Oviedo
22,Dom 01-02-2026,--:--,Real Oviedo,VS,Girona FC
23,Dom 08-02-2026,--:--,Rayo Vallecano,VS,Real Oviedo
24,Dom 15-02-2026,--:--,Real Oviedo,VS,Athletic Club
25,Dom 22-02-2026,--:--,Real Sociedad,VS,Real Oviedo
26,Dom 01-03-2026,--:--,Real Oviedo,VS,Atlético de Madrid
27,Dom 08-03-2026,--:--,RCD Espanyol de Barcelona,VS,Real Oviedo
28,Dom 15-03-2026,--:--,Real Oviedo,VS,Valencia CF
29,Dom 22-03-2026,--:--,Levante UD,VS,Real Oviedo
30,Dom 05-04-2026,--:--,Real Oviedo,VS,Sevilla FC
31,Dom 12-04-2026,--:--,Celta,VS,Real Oviedo
32,Dom 19-04-2026,--:--,Real Oviedo,VS,Elche CF
33,Mié 22-04-2026,--:--,Real Oviedo,VS,Villarreal CF
34,Dom 03-05-2026,--:--,Real Betis,VS,Real Oviedo
35,Dom 10-05-2026,--:--,Real Oviedo,VS,Getafe CF
36,Mié 13-05-2026,--:--,Real Madrid,VS,Real Oviedo
37,Dom 17-05-2026,--:--,Real Oviedo,VS,Deportivo Alavés
38,Dom 24-05-2026,--:--,RCD Mallorca,VS,Real Oviedo
