Jornada,Fecha,Horario,Local,Resultado,Visitante
1,Dom 17-08-2025,19:30,Athletic Club,3 - 2,Sevilla FC
2,Lun 25-08-2025,21:30,Sevilla FC,VS,Getafe CF
3,Sáb 30-08-2025,19:30,Girona FC,VS,Sevilla FC
4,Vie 12-09-2025,21:00,Sevilla FC,VS,Elche CF
5,Dom 21-09-2025,--:--,Deportivo Alavés,VS,Sevilla FC
6,Mié 24-09-2025,--:--,Sevilla FC,VS,Villarreal CF
7,Dom 28-09-2025,--:--,Rayo Vallecano,VS,Sevilla FC
8,Dom 05-10-2025,--:--,Sevilla FC,VS,FC Barcelona
9,Dom 19-10-2025,--:--,Sevilla FC,VS,RCD Mallorca
10,Dom 26-10-2025,--:--,Real Sociedad,VS,Sevilla FC
11,Dom 02-11-2025,--:--,Atlético de Madrid,VS,Sevilla FC
12,Dom 09-11-2025,--:--,Sevilla FC,VS,CA Osasuna
13,Dom 23-11-2025,--:--,RCD Espanyol de Barcelona,VS,Sevilla FC
14,Dom 30-11-2025,--:--,Sevilla FC,VS,Real Betis
15,Dom 07-12-2025,--:--,Valencia CF,VS,Sevilla FC
16,Dom 14-12-2025,--:--,Sevilla FC,VS,Real Oviedo
17,Dom 21-12-2025,--:--,Real Madrid,VS,Sevilla FC
18,Dom 04-01-2026,--:--,Sevilla FC,VS,Levante UD
19,Dom 11-01-2026,--:--,Sevilla FC,VS,Celta
20,Dom 18-01-2026,--:--,Elche CF,VS,Sevilla FC
21,Dom 25-01-2026,--:--,Sevilla FC,VS,Athletic Club
22,Dom 01-02-2026,--:--,RCD Mallorca,VS,Sevilla FC
23,Dom 08-02-2026,--:--,Sevilla FC,VS,Girona FC
24,Dom 15-02-2026,--:--,Sevilla FC,VS,Deportivo Alavés
25,Dom 22-02-2026,--:--,Getafe CF,VS,Sevilla FC
26,Dom 01-03-2026,--:--,Real Betis,VS,Sevilla FC
27,Dom 08-03-2026,--:--,Sevilla FC,VS,Rayo Vallecano
28,Dom 15-03-2026,--:--,FC Barcelona,VS,Sevilla FC
29,Dom 22-03-2026,--:--,Sevilla FC,VS,Valencia CF
30,Dom 05-04-2026,--:--,Real Oviedo,VS,Sevilla FC
31,Dom 12-04-2026,--:--,Sevilla FC,VS,Atlético de Madrid
32,Dom 19-04-2026,--:--,CA Osasuna,VS,Sevilla FC
33,Mié 22-04-2026,--:--,Levante UD,VS,Sevilla FC
34,Dom 03-05-2026,--:--,Sevilla FC,VS,Real Sociedad
35,Dom 10-05-2026,--:--,Sevilla FC,VS,RCD Espanyol de Barcelona
36,Mié 13-05-2026,--:--,Villarreal CF,VS,Sevilla FC
37,Dom 17-05-2026,--:--,Sevilla FC,VS,Real Madrid
38,Dom 24-05-2026,--:--,Celta,VS,Sevilla FC
