Jornada,Fecha,Horario,Local,Resultado,Visitante
1,Vie 15-08-2025,21:30,Villarreal CF,2 - 0,Real Oviedo
2,Dom 24-08-2025,19:30,Villarreal CF,VS,Girona FC
3,Dom 31-08-2025,17:00,Celta,VS,Villarreal CF
4,Dom 14-09-2025,--:--,Atlético de Madrid,VS,Villarreal CF
5,Dom 21-09-2025,--:--,Villarreal CF,VS,CA Osasuna
6,Mié 24-09-2025,--:--,Sevilla FC,VS,Villarreal CF
7,Dom 28-09-2025,--:--,Villarreal CF,VS,Athletic Club
8,Dom 05-10-2025,--:--,Real Madrid,VS,Villarreal CF
9,Dom 19-10-2025,--:--,Villarreal CF,VS,Real Betis
10,Dom 26-10-2025,--:--,Valencia CF,VS,Villarreal CF
11,Dom 02-11-2025,--:--,Villarreal CF,VS,Rayo Vallecano
12,Dom 09-11-2025,--:--,RCD Espanyol de Barcelona,VS,Villarreal CF
13,Dom 23-11-2025,--:--,Villarreal CF,VS,RCD Mallorca
14,Dom 30-11-2025,--:--,Real Sociedad,VS,Villarreal CF
15,Dom 07-12-2025,--:--,Villarreal CF,VS,Getafe CF
16,Dom 14-12-2025,--:--,Levante UD,VS,Villarreal CF
17,Dom 21-12-2025,--:--,Villarreal CF,VS,FC Barcelona
18,Dom 04-01-2026,--:--,Elche CF,VS,Villarreal CF
19,Dom 11-01-2026,--:--,Villarreal CF,VS,Deportivo Alavés
20,Dom 18-01-2026,--:--,Real Betis,VS,Villarreal CF
21,Dom 25-01-2026,--:--,Villarreal CF,VS,Real Madrid
22,Dom 01-02-2026,--:--,CA Osasuna,VS,Villarreal CF
23,Dom 08-02-2026,--:--,Villarreal CF,VS,RCD Espanyol de Barcelona
24,Dom 15-02-2026,--:--,Getafe CF,VS,Villarreal CF
25,Dom 22-02-2026,--:--,Villarreal CF,VS,Valencia CF
26,Dom 01-03-2026,--:--,FC Barcelona,VS,Villarreal CF
27,Dom 08-03-2026,--:--,Villarreal CF,VS,Elche CF
28,Dom 15-03-2026,--:--,Deportivo Alavés,VS,Villarreal CF
29,Dom 22-03-2026,--:--,Villarreal CF,VS,Real Sociedad
30,Dom 05-04-2026,--:--,Girona FC,VS,Villarreal CF
31,Dom 12-04-2026,--:--,Athletic Club,VS,Villarreal CF
32,Dom 19-04-2026,--:--,Villarreal CF,VS,Celta
33,Mié 22-04-2026,--:--,Real Oviedo,VS,Villarreal CF
34,Dom 03-05-2026,--:--,Villarreal CF,VS,Levante UD
35,Dom 10-05-2026,--:--,RCD Mallorca,VS,Villarreal CF
36,Mié 13-05-2026,--:--,Villarreal CF,VS,Sevilla FC
37,Dom 17-05-2026,--:--,Rayo Vallecano,VS,Villarreal CF
38,Dom 24-05-2026,--:--,Villarreal CF,VS,Atlético de Madrid
